id,casetype,scheduledate,time,action,suggest,comment,iscompleted,customer_id,handledby_id,,
321,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
322,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
323,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
324,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
325,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
326,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
327,Filter replacement,2017-12-07,10:00:00,,,,1,418,1,,
328,Filter replacement,2018-05-09,10:00:00,,,,1,420,1,,
329,Filter replacement,2018-08-07,10:00:00,,,,1,425,1,,
330,Filter replacement,2017-12-07,10:00:00,,,,1,428,1,,
331,Filter replacement,2018-04-27,10:00:00,,,,1,428,1,,
332,Filter replacement,2018-08-07,10:00:00,,,,1,428,1,,
333,Filter replacement,2018-05-02,10:00:00,,,,1,431,1,,
334,Filter replacement,2018-04-27,10:00:00,,,,1,436,1,,
335,Filter replacement,2018-04-27,10:00:00,,,,1,436,1,,
336,Filter replacement,2018-04-27,10:00:00,,,,1,436,1,,
337,Filter replacement,2018-06-12,10:00:00,,,,1,438,1,,
338,Filter replacement,2018-04-04,10:00:00,,,,1,442,1,,
339,Installatoin,2017-06-19,10:00:00,,,,1,452,1,,
340,Installatoin,2017-06-20,10:00:00,,,,1,454,1,,
341,Filter replacement,2018-05-09,10:00:00,,,,1,455,1,,
342,Filter replacement,2018-06-11,10:00:00,,,,1,455,1,,
343,Filter replacement,2018-08-07,10:00:00,,,,1,457,1,,
344,Filter replacement,2018-08-07,10:00:00,,,,1,457,1,,
345,Filter replacement,2018-07-24,10:00:00,,,,1,458,1,,
346,Filter replacement,2018-07-17,10:00:00,,,,1,460,1,,
347,Filter replacement,2018-07-13,10:00:00,,,,1,461,1,,
348,Filter replacement,2018-06-19,10:00:00,,,,1,462,1,,
349,Filter replacement,2018-07-09,10:00:00,,,,1,463,1,,
350,Filter replacement,2017-12-20,10:00:00,,,,1,464,1,,
351,Filter replacement,2018-06-05,10:00:00,,,,1,464,1,,
352,Installatoin,2017-06-22,10:00:00,,,,1,464,1,,
353,Filter replacement,2018-06-14,10:00:00,,,,1,465,1,,
354,Filter replacement,2018-06-14,10:00:00,,,,1,465,1,,
355,Filter replacement,2018-06-04,10:00:00,,,,1,466,1,,
356,Filter replacement,2018-06-05,10:00:00,,,,1,467,1,,
357,Filter replacement,2018-04-26,10:00:00,,,,1,468,1,,
358,Filter replacement,2018-04-26,10:00:00,,,,1,468,1,,
359,Filter replacement,2018-05-10,10:00:00,,,,1,469,1,,
360,Filter replacement,2018-05-04,10:00:00,,,,1,470,1,,
361,Filter replacement,2018-05-08,10:00:00,,,,1,471,1,,
362,Filter replacement,2018-05-07,10:00:00,,,,1,472,1,,
363,Filter replacement,2018-05-14,10:00:00,,,,1,474,1,,
364,Filter replacement,2018-05-14,10:00:00,,,,1,474,1,,
365,Filter replacement,2018-05-14,10:00:00,,,,1,474,1,,
366,Filter replacement,2018-05-09,10:00:00,,,,1,475,1,,
367,Filter replacement,2018-05-11,10:00:00,,,,1,476,1,,
368,Filter replacement,2018-05-10,10:00:00,,,,1,477,1,,
369,Filter replacement,2018-03-21,10:00:00,,,,1,478,1,,
370,Filter replacement,2018-03-26,10:00:00,,,,1,479,1,,
371,Installatoin,2017-09-07,10:00:00,,,,1,479,1,,
372,Filter replacement,2018-04-25,10:00:00,,,,1,480,1,,
373,Filter replacement,2018-04-03,10:00:00,,,,1,482,1,,
374,Filter replacement,2018-03-21,10:00:00,,,,1,483,1,,
375,Filter replacement,2018-04-06,10:00:00,,,,1,485,1,,
376,Filter replacement,2018-03-26,10:00:00,,,,1,486,1,,
377,Checking ,2018-04-11,10:00:00,無熱水,,,1,490,1,,
378,Installatoin,2019-08-06,10:00:00,,,,1,607,2,,
379,Installatoin,2019-08-06,10:00:00,,,,1,612,2,,
380,Filter replacement,2019-08-07,10:00:00,,,,1,204,3,,
381,Filter replacement,2019-08-07,11:00:00,,,,1,206,3,,
382,Filter replacement,2019-08-07,11:00:00,,,,1,205,3,,
383,Filter replacement,2019-08-07,02:00:00,,,,1,31,3,,
384,Filter replacement,2019-08-07,03:00:00,,,,1,383,3,,
385,Filter replacement,2019-08-06,10:00:00,,,,1,313,3,,
386,Filter replacement,2019-08-06,02:00:00,,,,1,312,3,,
387,Filter replacement,2019-08-06,11:00:00,,,,1,386,3,,
388,Filter replacement,2019-08-09,02:00:00,,,,1,193,3,,
389,Filter replacement,2019-08-09,02:00:00,,,,1,382,3,,
390,Filter replacement,2019-08-18,10:00:00,,,,1,317,3,,
391,Filter replacement,2019-08-13,10:00:00,,,,1,431,2,,
392,Filter replacement,2019-08-13,10:00:00,,,,1,79,2,,
393,Filter replacement,2019-08-13,10:00:00,,,,1,79,2,,
394,Filter replacement,2019-08-13,11:00:00,,,,1,384,2,,
395,Filter replacement,2019-08-13,02:00:00,,,,1,424,2,,
